
Airport Code	Airport	Country	City	City Code
MEL	MELBOURNE INT’L	AUSTRALIA	MELBOURNE	MEL
MEX	MAXICO CITY INT’L	MEXICO	MEXICO CITY	MEX
MIA	MIAMI INT’L	U.S.A.	MIAMI	MIA
MLH	MULHOUSE	FRANCE	MLHOUSE	MLH
MMA	STURUP	SWEDEN	MALMO	MMA
MNL	NINOY AQUINO INT’L	PHILIPPINES	MANILA	MNL
MSP	NONNEAPOLIS ST. PAUL INT’L	U.S.A.	MINNEAPOLIS	MSP
MUC	FRANZ JOSEF STRAUSS	GERMANY	MUNICH	MUC
MXP	MALPENSA	ITALY	MILAN	MIL
NGO	CHUBU INTERNATIONAL	JAPAN	NAGOYA	NGO
NRT	NARITA	JAPAN	TOKYO	TYO
NUE	NUERMBERG	GERMANY	NUREMBERG	NUE
OKA	NAHA	JAPAN	OKINAWA	OKA
OPO	PORTO	PORTUGAL	PORTO	OPO
ORD	O’HARE INT’L	U.S.A.	CHICAGO	CHI
ORY	ORLY	FRANCE	PARIS	PAR
PDX	PORTLAND INT’L	U.S.A.	PORTLAND	PDX
PEK	CAPITAL	CHINA	BEIJING	PEK
PER	PERTH	AUSTRALI	PERTH	PER
PHL	PHILADELPHIA INT’L	U.S.A.	PHILADELPHIA	PHL
PHX	SKY HARBOR INT’L	U.S.A.	PHOENIX	PHX
PIT	PITTSBURGH INT’L	U.S.A.	PITTSBURGH	PIT
PNH	PHNOM PENH INT’L	CAMBODIA	PHNOM PENH	PNH
PUS	KIMHAE	KOREA	PUSAN	PUS
PVG	PUDONG INT’L	CHINA	SHANGHAI	PVG
SAN	SAN DIEGO INT’L	U.S.A.	SAN DIEGO	SAN
SDJ	SENDAI	JAPAN	SENDAI	SDJ
SEA	SEATTLE-TACOMA INT’L	U.S.A.	SEATTLE	SEA
SEL	KIMPO INT’L	KOREA	SEOUL	SEL
SFO	SAN FRANCISCO INT’L	U.S.A.	SAN FRANCISCO	SFO
SFS	SUBIC BAY	PHILIPPINES	SUBIC BAY	SFS
SGN	TANSONNHAT INT’L	VIETNUM	HO CHI MINH CITY	SGN
SHA	PUDONG	CHINA	SHANGHAI	SHA
SIN	CHANGI	SINGAPORE	SINGAPORE	SIN
SJU	LUIS MUNOZ MARIN INT’L	PUERTO RICO	SAN JUAN	SJU
STR	STUTTGART	GERMANY	STUTTGART	STR
SVO	SHEREMETYEVO	RUSSIA	MOSCOW	MOW
SXF	SCHONEFELD	GERMANY	BERLIN	BER
SYD	KINGSFORD SMITH(MASCOT)	AUSTRALIA	SYDNEY	SYD
SYR	HANCOCK INT’L	U.S.A.	SYRACUSE	SYR
THF	TEMPELHOF	GERMANY	BERLIN	BER
THR	MEHRABAD	IRAN	TEHRAN	THR
TLV	BEN GURION INT’L	ISRAEL	TEL AVIV	TLV
TPE	TAOYUAN INT’L	TAIWAN, CHINA	TAIPEI	TPE
TSA	SUNG SHAN	TAIWAN, CHINA	TAIPEI	TPE
TXL	TEGEL	GERMANY	BERLIN	BER
VCE	MARCO POLO	ITALY	VENICE	VCE
VCP	VIRACOPOS	BRAZIL	SAO PAULO	SAO
VIE	VIENNA INT’L	AUSTRIA	VIENNA	VIE
WAW	FREDERIC CHOPIN	POLAND	WARSAW	WAW
WLG	WELLINGTON INT’L	NEW ZEALAND	WELLINGTON	WLG
YMX	MIRABEL	CANADA	MONTREAL	YMQ
YOW	MCDONALD CARTIER INT’L	CANADA	OTTAWA	YOW
YUL	PIERRE ELLIOTT TRUDEAU	CANADA	MONTREAL	YMQ
YVR	VANCOUVER INT’L	CANADA	VANCOUVER	YVR
YYZ	LESTER B. PEARSON INT’L	CANADA	TORONTO	YTO
ZRH	ZURICH	SWITZERLAND	ZURICH	ZRH
